City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
470,Keti Bandar,PK,24.1447,67.4497,84.54,70,79,15.03,broken clouds,2021-06-21 16:53:19
471,Baghdad,IQ,33.3406,44.4009,103.91,16,0,4.61,clear sky,2021-06-21 16:50:28
472,Sitrah,BH,26.1547,50.6206,100.62,49,0,1.99,clear sky,2021-06-21 16:53:20
473,Tambura,SS,5.6,27.4667,75.2,71,55,3.49,broken clouds,2021-06-21 16:53:20
474,Batagay,RU,67.6333,134.6333,60.6,45,93,3.58,overcast clouds,2021-06-21 16:53:21
475,Avera,US,33.194,-82.5271,85.66,54,20,13.49,few clouds,2021-06-21 16:53:21
476,Golyshmanovo,RU,56.3979,68.3728,52.12,83,49,7.2,scattered clouds,2021-06-21 16:53:21
477,Karasjok,NO,69.4719,25.5112,51.91,97,100,12.41,overcast clouds,2021-06-21 16:53:22
478,Bara,NG,10.3744,10.7288,92.98,54,78,11.1,broken clouds,2021-06-21 16:53:22
479,Hargeysa,SO,9.56,44.065,75.51,47,35,22.44,light rain,2021-06-21 16:48:38
480,Kieta,PG,-6.2167,155.6333,77.74,83,28,5.26,scattered clouds,2021-06-21 16:53:23
481,Harper,LR,4.375,-7.7169,80.4,77,51,9.26,light rain,2021-06-21 16:53:23
482,Jiaojiang,CN,28.6803,121.4428,70.0,82,100,3.89,light rain,2021-06-21 16:53:23
483,Vanimo,PG,-2.6741,141.3028,77.16,87,97,6.15,overcast clouds,2021-06-21 16:53:24
484,Ambilobe,MG,-13.2,49.05,69.46,69,70,6.87,broken clouds,2021-06-21 16:53:24
485,Neman,RU,55.0311,22.0264,80.38,72,1,8.59,clear sky,2021-06-21 16:53:25
486,Cobija,BO,-11.0267,-68.7692,73.58,83,75,3.44,broken clouds,2021-06-21 16:53:25
487,Mayo,US,38.8876,-76.5119,93.2,77,100,5.01,overcast clouds,2021-06-21 16:53:26
488,Zurrieq,MT,35.8311,14.4742,87.31,30,0,10.36,clear sky,2021-06-21 16:53:26
489,Quelimane,MZ,-17.8786,36.8883,73.35,83,20,8.01,few clouds,2021-06-21 16:53:26
490,Polunochnoye,RU,60.8697,60.4153,47.59,93,100,2.91,overcast clouds,2021-06-21 16:53:27
491,Risalpur,PK,34.0619,71.9917,90.18,19,18,5.01,few clouds,2021-06-21 16:53:27
492,Le Vauclin,MQ,14.5452,-60.8388,86.05,66,40,16.11,scattered clouds,2021-06-21 16:53:27
493,Caravelas,BR,-17.7125,-39.2481,78.55,65,1,7.61,clear sky,2021-06-21 16:53:28
494,Berlevag,NO,70.8578,29.0864,46.89,92,100,24.9,overcast clouds,2021-06-21 16:53:28
495,Sangar,RU,63.9242,127.4739,65.53,64,21,4.21,few clouds,2021-06-21 16:53:29
496,Pochutla,MX,15.7432,-96.4661,89.82,62,98,4.18,overcast clouds,2021-06-21 16:53:29
497,Erenhot,CN,43.6475,111.9767,70.99,33,96,7.61,overcast clouds,2021-06-21 16:53:29
498,Gerash,IR,27.6652,54.1371,96.94,9,0,3.02,clear sky,2021-06-21 16:53:30
499,Aykhal,RU,66.0,111.5,64.44,61,22,4.27,few clouds,2021-06-21 16:53:30
500,Caramay,PH,10.1815,119.236,78.76,81,97,3.44,overcast clouds,2021-06-21 16:53:30
501,Lima,PE,-12.0432,-77.0282,64.65,77,90,8.05,overcast clouds,2021-06-21 16:51:59
502,Galle,LK,6.0367,80.217,80.74,85,52,11.41,broken clouds,2021-06-21 16:53:31
503,Camacupa,AO,-12.0167,17.4833,63.82,37,6,3.31,clear sky,2021-06-21 16:53:32
504,Ballina,AU,-28.8667,153.5667,55.36,95,40,9.22,scattered clouds,2021-06-21 16:53:32
