City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Pimentel,PE,2021-06-25 16:02:28,-6.8367,-79.9342,69.01,77,44,3.0
94,Qaqortoq,GL,2021-06-25 16:02:29,60.7167,-46.0333,47.71,75,82,3.62
95,Victoria,HK,2021-06-25 16:01:07,22.2855,114.1577,84.38,90,100,4.0
96,Acarau,BR,2021-06-25 16:02:29,-2.8856,-40.12,86.7,56,24,12.41
97,Porosozero,RU,2021-06-25 16:02:30,62.7191,32.727,74.43,67,39,2.35
98,Mar Del Plata,AR,2021-06-25 16:00:46,-38.0023,-57.5575,60.13,57,58,3.0
99,Saltabarranca,MX,2021-06-25 16:02:30,18.6,-95.5333,82.96,70,96,3.22
100,Aras,ES,2021-06-25 16:02:31,42.5617,-2.356,82.81,30,20,4.61
101,Half Moon Bay,US,2021-06-25 15:58:38,37.4636,-122.4286,66.58,83,90,8.05
102,Tasiilaq,GL,2021-06-25 16:02:31,65.6145,-37.6368,57.36,48,22,16.26
103,Kemijarvi,FI,2021-06-25 16:02:32,66.7131,27.4306,64.4,55,100,7.05
104,Key Largo,US,2021-06-25 16:00:06,25.0865,-80.4473,87.01,60,100,15.32
105,Kapaa,US,2021-06-25 16:02:32,22.0752,-159.319,75.52,84,40,6.91
106,Norman Wells,CA,2021-06-25 16:02:33,65.282,-126.8329,76.98,39,70,4.38
107,Hermanus,ZA,2021-06-25 16:02:33,-34.4187,19.2345,57.9,79,51,28.81
108,Ponta Do Sol,PT,2021-06-25 16:02:34,32.6667,-17.1,76.01,61,5,3.47
109,Esperance,AU,2021-06-25 16:02:34,-33.8667,121.9,51.28,68,0,10.83
110,Sakakah,SA,2021-06-25 16:02:35,29.9697,40.2064,102.65,6,0,9.75
111,Adrar,MR,2021-06-25 16:02:35,20.5022,-10.0711,108.7,8,15,11.14
112,Teya,RU,2021-06-25 16:02:36,60.3778,92.6267,53.78,96,100,0.43
113,Lazaro Cardenas,MX,2021-06-25 16:02:37,17.9583,-102.2,79.97,76,100,6.49
114,Port Elizabeth,ZA,2021-06-25 16:02:37,-33.918,25.5701,64.72,51,21,10.42
115,Srivardhan,IN,2021-06-25 16:02:37,18.0333,73.0167,79.59,81,100,3.94
116,Sussex,US,2021-06-25 16:02:38,41.1834,-74.6663,77.68,51,1,4.61
117,Leningradskiy,RU,2021-06-25 16:02:38,69.3833,178.4167,34.23,77,71,9.78
118,Nouadhibou,MR,2021-06-25 16:00:18,20.931,-17.0347,67.84,82,1,26.96
119,Mitu,CO,2021-06-25 16:00:10,1.1983,-70.1733,83.43,68,6,3.78
120,Altus,US,2021-06-25 16:02:39,34.6381,-99.334,91.47,55,40,1.99
121,San Patricio,US,2021-06-25 16:02:40,28.017,-97.5169,90.01,58,11,15.64
122,Nampula,MZ,2021-06-25 16:02:40,-15.1165,39.2666,71.06,52,98,4.12
123,Ayan,RU,2021-06-25 16:02:41,56.45,138.1667,48.43,80,0,1.61
124,Barrow,US,2021-06-25 16:02:41,71.2906,-156.7887,33.82,80,90,18.41
125,Kavaratti,IN,2021-06-25 16:02:42,10.5669,72.642,82.99,75,83,14.43
126,Darab,IR,2021-06-25 16:02:42,28.7519,54.5444,92.35,5,0,17.38
127,Provideniya,RU,2021-06-25 16:02:43,64.3833,-173.3,47.28,68,88,4.14
128,Vila Franca Do Campo,PT,2021-06-25 16:02:43,37.7167,-25.4333,70.21,91,100,16.04
129,Bayeux,BR,2021-06-25 16:02:43,-7.125,-34.9322,82.67,60,20,17.85
130,Acapulco,MX,2021-06-25 16:00:12,16.8634,-99.8901,76.1,90,100,13.53
131,Tamiahua,MX,2021-06-25 16:02:44,21.2667,-97.45,85.78,67,85,6.02
132,Nioro,GM,2021-06-25 16:02:44,13.35,-15.75,90.55,48,100,9.1
133,Merke,KZ,2021-06-25 16:02:45,42.8728,73.1786,64.58,52,92,2.15
134,Coihaique,CL,2021-06-25 16:02:45,-45.5752,-72.0662,39.13,87,97,9.95
135,Fuji,JP,2021-06-25 16:02:46,35.1667,138.6833,73.02,69,100,1.34
136,Kristiansund,NO,2021-06-25 16:02:46,63.1115,7.732,57.25,76,75,16.11
137,Suwalki,PL,2021-06-25 16:02:46,54.1118,22.9309,71.22,80,90,8.41
138,Itoman,JP,2021-06-25 16:02:47,26.1247,127.6694,80.98,94,75,12.66
139,Tazovskiy,RU,2021-06-25 16:02:47,67.4667,78.7,46.22,58,68,12.66
140,Bardiyah,LY,2021-06-25 16:02:48,31.7561,25.0865,83.84,55,0,15.43
141,Corinto,GR,2021-06-25 16:02:48,37.9407,22.9573,99.0,49,2,2.17
142,Fereydunshahr,IR,2021-06-25 16:02:49,32.941,50.121,69.71,13,81,10.16
143,Nizwa,OM,2021-06-25 16:02:49,22.9333,57.5333,98.29,18,82,1.95
144,Abu Kamal,SY,2021-06-25 16:02:50,34.4506,40.9171,101.66,13,0,6.73
145,Mangaratiba,BR,2021-06-25 16:02:50,-22.9597,-44.0406,77.04,53,3,3.24
146,East London,ZA,2021-06-25 16:02:51,-33.0153,27.9116,66.74,78,2,16.02
147,Severo-Kurilsk,RU,2021-06-25 16:02:51,50.6789,156.125,43.97,98,100,1.86
148,Aleksandrovsk-Sakhalinskiy,RU,2021-06-25 16:02:52,50.8975,142.1561,52.02,98,94,2.73
149,Ucluelet,CA,2021-06-25 16:01:27,48.9329,-125.5528,76.08,90,64,1.81
150,Lompoc,US,2021-06-25 16:00:57,34.6391,-120.4579,73.56,79,27,1.01
151,Yellowknife,CA,2021-06-25 16:00:11,62.456,-114.3525,62.56,59,93,5.99
152,Kavieng,PG,2021-06-25 16:02:53,-2.5744,150.7967,82.17,75,99,9.95
153,Moba,CN,2021-06-25 16:02:53,33.2288,105.0179,58.37,95,71,2.19
154,Champerico,GT,2021-06-25 16:02:54,14.3,-91.9167,90.72,71,64,5.06
155,Longyearbyen,SJ,2021-06-25 16:02:54,78.2186,15.6401,37.24,87,90,6.91
156,Bathsheba,BB,2021-06-25 16:02:54,13.2167,-59.5167,83.26,70,22,18.32
157,Hervey Bay,AU,2021-06-25 16:02:55,-25.2986,152.8535,66.02,93,100,4.0
158,Borovoy,RU,2021-06-25 16:02:55,55.4333,86.0833,51.08,100,40,11.18
159,West Hartford,US,2021-06-25 16:00:00,41.762,-72.742,70.29,88,90,1.01
160,Aykhal,RU,2021-06-25 16:02:56,66.0,111.5,65.37,54,2,6.35
161,Cortez,US,2021-06-25 16:02:56,37.3489,-108.5859,71.51,72,90,12.66
162,Codrington,AU,2021-06-25 16:02:57,-38.2667,141.9667,49.96,78,99,9.91
163,Muros,ES,2021-06-25 16:02:57,42.7762,-9.0603,86.5,51,58,6.29
164,Kununurra,AU,2021-06-25 16:02:58,-15.7667,128.7333,75.18,46,40,10.36
165,Yarmouth,US,2021-06-25 15:58:38,41.7057,-70.2286,76.6,91,90,8.01
166,Walvis Bay,NA,2021-06-25 16:02:58,-22.9575,14.5053,64.27,56,0,19.82
167,Barcelos,PT,2021-06-25 16:02:59,41.5388,-8.6151,89.92,38,91,7.83
168,Bosaso,SO,2021-06-25 16:03:00,11.2842,49.1816,93.65,40,71,13.15
169,Kenai,US,2021-06-25 16:03:00,60.5544,-151.2583,51.03,93,100,6.33
170,Lakes Entrance,AU,2021-06-25 16:03:00,-37.8811,147.981,47.17,88,73,13.13
171,Santa Maria,BR,2021-06-25 16:03:01,-29.6842,-53.8069,62.53,59,2,3.71
172,Vallenar,CL,2021-06-25 16:03:01,-28.5708,-70.7581,66.56,23,100,3.22
173,Paracuru,BR,2021-06-25 16:03:02,-3.41,-39.0306,87.82,53,8,12.57
174,Kursenai,LT,2021-06-25 16:03:02,55.985,22.9189,73.65,73,75,7.61
175,Nara,JP,2021-06-25 16:03:03,34.6851,135.8049,72.68,73,44,2.35
176,Enid,US,2021-06-25 16:01:09,36.3956,-97.8784,92.01,59,40,13.0
177,Saint-Pierre,RE,2021-06-25 16:03:04,-21.3393,55.4781,69.48,82,90,8.05
178,Upata,VE,2021-06-25 16:03:04,8.0086,-62.3989,83.19,67,38,3.27
179,Kindu,CD,2021-06-25 16:03:04,-2.95,25.95,82.36,53,75,4.79
180,Berdigestyakh,RU,2021-06-25 16:03:05,62.0989,126.6992,61.54,85,97,4.16
181,Tacoronte,ES,2021-06-25 16:03:06,28.4769,-16.4102,68.94,66,20,14.0
182,Taltal,CL,2021-06-25 16:01:26,-25.4,-70.4833,63.48,65,47,5.86
183,Kodiak,US,2021-06-25 16:03:06,57.79,-152.4072,49.51,81,75,12.66
184,Irtyshskiy,RU,2021-06-25 16:03:06,58.3333,68.1333,58.95,62,29,6.4
185,Saraland,US,2021-06-25 16:03:07,30.8207,-88.0706,84.56,86,99,7.27
186,Askiz,RU,2021-06-25 16:03:07,53.1319,90.5264,52.48,80,86,14.76
187,Tripoli,LY,2021-06-25 16:00:49,32.8752,13.1875,90.19,46,28,8.81
188,Yefremov,RU,2021-06-25 16:03:08,53.1481,38.0992,83.79,62,38,5.01
189,Atar,MR,2021-06-25 16:03:08,20.5169,-13.0499,109.9,8,5,8.48
190,Liverpool,GB,2021-06-25 15:59:38,53.4106,-2.9779,57.09,78,100,8.99
191,Viseu,PT,2021-06-25 16:03:09,40.661,-7.9097,87.85,23,75,8.7
192,Kuala Terengganu,MY,2021-06-25 16:03:10,5.3302,103.1408,79.5,84,83,5.64
193,Sao Felix Do Xingu,BR,2021-06-25 16:00:39,-6.6447,-51.995,90.99,39,18,4.47
194,Luderitz,NA,2021-06-25 16:03:10,-26.6481,15.1594,61.48,60,23,10.11
195,La Plata,AR,2021-06-25 16:00:01,-34.9215,-57.9545,62.01,53,100,6.29
196,Sembe,CG,2021-06-25 16:03:11,1.6481,14.5806,81.0,69,100,0.65
197,Cabinda,AO,2021-06-25 16:03:12,-5.55,12.2,76.41,83,35,13.85
198,Baykalsk,RU,2021-06-25 16:03:12,51.5058,104.1469,55.2,81,8,1.72
199,La Ciotat,FR,2021-06-25 16:03:12,43.1748,5.6045,90.37,27,1,17.76
200,Sao Joao Da Barra,BR,2021-06-25 16:03:13,-21.6403,-41.0511,74.39,65,1,15.05
201,Shirokiy,RU,2021-06-25 16:03:13,49.758,129.523,64.53,72,13,6.89
202,Mahibadhoo,MV,2021-06-25 16:03:14,3.7833,72.9667,83.3,74,98,12.5
203,College,US,2021-06-25 16:03:14,64.8569,-147.8028,63.09,66,55,2.08
204,Kawalu,ID,2021-06-25 16:03:15,-7.3817,108.2082,72.84,99,90,1.7
205,Voh,NC,2021-06-25 16:03:11,-20.9667,164.7,68.83,73,45,4.56
206,Veracruz,MX,2021-06-25 16:02:45,19.3333,-96.6667,81.45,63,93,3.56
207,Amapa,BR,2021-06-25 16:03:15,1.0,-52.0,86.59,54,45,4.18
208,Acari,PE,2021-06-25 16:03:16,-15.4311,-74.6158,71.08,55,85,7.7
209,Lasa,IT,2021-06-25 16:03:16,46.6166,10.7002,76.91,81,99,0.67
210,Badiraguato,MX,2021-06-25 16:03:17,25.3667,-107.5167,85.71,60,11,3.62
211,Chuy,UY,2021-06-25 16:03:17,-33.6971,-53.4616,59.2,60,14,7.63
212,Nalut,LY,2021-06-25 16:03:18,30.3333,10.85,105.51,7,68,10.67
213,Narsaq,GL,2021-06-25 16:03:18,60.9167,-46.05,48.87,72,87,4.68
214,Las Varas,MX,2021-06-25 16:03:19,21.1667,-105.1667,87.28,73,63,4.25
215,Deputatskiy,RU,2021-06-25 16:03:19,69.3,139.9,59.43,45,7,2.37
216,Airai,TL,2021-06-25 16:03:20,-8.9266,125.4092,58.68,93,21,2.89
217,Sabang,ID,2021-06-25 16:03:20,5.8933,95.3214,82.85,77,97,17.11
218,Ossora,RU,2021-06-25 16:03:21,59.2353,163.0719,46.89,90,100,1.59
219,Isangel,VU,2021-06-25 16:03:21,-19.55,169.2667,72.68,78,45,15.32
220,Itarema,BR,2021-06-25 16:03:22,-2.9248,-39.9167,87.01,55,23,13.91
221,Coquimbo,CL,2021-06-25 16:03:22,-29.9533,-71.3436,60.48,62,100,5.64
222,Garoua,CM,2021-06-25 16:03:23,9.3,13.4,96.48,35,58,2.04
223,Nhulunbuy,AU,2021-06-25 16:03:24,-12.2333,136.7667,77.61,78,90,13.8
224,Oktyabrskiy,RU,2021-06-25 16:03:24,54.4815,53.471,80.42,74,75,3.94
225,Qaanaaq,GL,2021-06-25 16:03:24,77.484,-69.3632,39.94,77,21,2.93
226,Talaya,RU,2021-06-25 16:03:25,61.3833,152.75,51.39,76,83,4.05
227,Westport,US,2021-06-25 16:00:32,41.1415,-73.3579,76.15,83,100,1.99
228,Sayyan,YE,2021-06-25 16:03:25,15.1718,44.3244,71.46,11,86,10.27
229,Ilulissat,GL,2021-06-25 16:03:26,69.2167,-51.1,48.22,57,75,8.05
230,Ahipara,NZ,2021-06-25 16:03:26,-35.1667,173.1667,55.74,91,100,7.99
231,Noumea,NC,2021-06-25 15:59:19,-22.2763,166.4572,72.0,99,4,8.21
232,Ulladulla,AU,2021-06-25 16:03:27,-35.35,150.4667,51.1,75,91,10.0
233,Banjar,ID,2021-06-25 16:03:27,-8.19,114.9675,80.46,89,31,4.0
234,Kanniyakumari,IN,2021-06-25 16:03:27,8.0833,77.5667,80.44,82,84,23.04
