City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Trat,TH,82.78,scattered clouds,12.5,102.5,สวนหนิง-อัศ
598,Shahreza,IR,81.36,clear sky,32.0339,51.8794,خوابگاه
599,Coahuayana,MX,87.91,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
603,Kailua,US,76.14,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
605,Morehead,US,84.49,broken clouds,37.2711,-87.1764,CCI Express Inn
609,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
610,Shache,CN,75.78,overcast clouds,38.4167,77.2406,Delong Hotel
611,Borgomanero,IT,84.88,scattered clouds,45.7024,8.4581,Hotel Rinaldo
613,Lucea,JM,89.46,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
615,Meulaboh,ID,76.35,moderate rain,4.1363,96.1285,Kost Pria
618,Yamethin,MM,76.23,broken clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
619,Asuncion Ixtaltepec,MX,86.92,overcast clouds,16.5,-95.05,Hotel San Rafael
623,Ajdabiya,LY,80.71,clear sky,30.7554,20.2263,Almadina Hotel
624,Zagan,PL,84.69,overcast clouds,51.6176,15.3149,Hotel Okatex
632,Bonthe,SL,77.09,moderate rain,7.5264,-12.505,Bonthe Holiday Village
634,Sinaloa,MX,88.11,scattered clouds,25.0,-107.5,
635,Musenita,RO,79.47,broken clouds,47.9667,26.0,Truck Non-Stop
639,Zhoucun,CN,78.57,light rain,36.8167,117.8167,Zibo Changxin Hotel
641,Sai Buri,TH,78.28,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
642,Basco,PH,83.61,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
643,Broome,US,88.05,overcast clouds,42.2506,-75.833,Chenango Valley State Park
645,Callaway,US,84.18,moderate rain,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
646,Petlad,IN,80.94,broken clouds,22.4667,72.8,Ma meldi tea stol
653,Chimore,BO,81.1,scattered clouds,-16.9833,-65.1333,Bichito
654,Soyo,AO,78.85,broken clouds,-6.1349,12.3689,Hotel Mpampa
655,Alibag,IN,84.27,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
657,Pundaguitan,PH,83.55,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
664,Ilinskiy,RU,84.78,overcast clouds,55.619,38.1182,Around the world
666,Zhuhai,CN,87.06,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
667,Labuhan,ID,77.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
668,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
670,Shetpe,KZ,89.96,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
671,Jevargi,IN,84.42,overcast clouds,17.0167,76.7667,Apna Ghar
672,Aloleng,PH,82.76,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
679,Yarada,IN,86.32,haze,17.65,83.2667,Jeevan
682,Zelenets,RU,82.65,overcast clouds,61.8849,50.7489,Zelenetskii Alps Ski Base
687,Guozhen,CN,75.06,clear sky,34.3659,107.359,Yucai Hotel
689,Chapada Dos Guimaraes,BR,82.06,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
690,Tezu,IN,76.37,broken clouds,27.9167,96.1667,Circuit House
692,Sabzevar,IR,80.01,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
693,Nanakuli,US,76.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
694,Luganville,VU,77.13,broken clouds,-15.5333,167.1667,The Espiritu Hotel
695,Santa Marta,CO,84.09,overcast clouds,11.2408,-74.199,Casa de Isabella
697,Bac Giang,VN,89.67,overcast clouds,21.2667,106.2,An Binh Hotel 2
